doctor_id,first_name,last_name,gender,yyyy,mm,dd,accepting_patients,specialty_id,ethnicity_id,experience_years,qualifications,phone
11100001,Sueann,Stanfield,F,1961,2,1,1,10134,110007,16,MBBS,(250) 754-2445
11100002,Carolyn,Rivera,F,1959,6,16,1,10181,110009,23,MD,(686) 516-1338
11100003,Gerardo,Clayton,M,1968,9,12,1,10129,110066,28,MD,(308) 973-1579
11100004,Joyce,Ross,F,1978,4,3,1,10135,110041,22,MD,(560) 855-2278
11100005,Sallie,Mears,F,1958,1,26,1,10155,110012,1,MBBS,(820) 963-1179
11100006,Brady,Chadwick,M,1955,5,27,1,10170,110001,31,MD,(640) 396-9485
11100007,Darren,Houston,M,1952,2,17,1,10124,110015,44,MD,(327) 486-0260
11100008,Annalisa,Tatum,F,1973,5,15,1,10181,110064,2,MBBS,(509) 286-9988
11100009,Elbert,Sanchez,M,1977,12,21,1,10125,110013,21,MD,(752) 479-8263
11100010,Alden,Beall,M,1949,12,24,1,10182,110042,39,MD,(317) 219-7472
11100011,Betty,Mccoy,F,1942,11,9,1,10119,110042,16,MBBS,(523) 434-3273
11100012,Dwayne,Wells,M,1985,8,8,1,10116,110055,24,MD,(494) 802-4303
11100013,Vivian,Frazier,F,1979,12,1,1,10150,110013,7,MBBS,(249) 905-0508
11100014,Camille,Cannon,F,1968,5,4,1,10129,110008,32,MD,(440) 401-2376
11100015,Kurt,Thomas,M,1981,2,9,1,10148,110052,19,MBBS,(749) 619-4672
11100016,Amber,Olson,F,1979,11,19,1,10153,110015,49,MD,(536) 357-0791
11100017,Jeremy,Rodriguez,M,1949,6,18,1,10174,110021,13,MBBS,(839) 307-6227
11100018,Wes,Ogden,M,1960,1,5,1,10160,110027,25,MD,(441) 321-5065
11100019,Brittany,Gardner,F,1947,2,7,1,10111,110011,33,MD,(326) 269-0295
11100020,Reina,Nevitt,F,1969,10,28,1,10120,110011,36,MD,(974) 397-1691
11100021,Nancy,Ward,F,1942,6,10,1,10146,110019,16,MBBS,(504) 810-8213
11100022,Stephanie,Green,F,1984,1,26,1,10158,110039,30,MD,(786) 772-4331
11100023,Barbara,Gray,F,1958,7,21,1,10169,110001,47,MD,(299) 886-5624
11100024,Patricia,Johnson,F,1962,2,6,1,10145,110056,45,MD,(800) 646-6018
11100025,Guillermo,Quetell,M,1952,3,18,1,10111,110007,36,MD,(288) 925-2504
11100026,Nova,Mark,F,1973,6,15,1,10117,110014,14,MBBS,(749) 834-4371
11100027,Sindy,Mcswain,F,1959,4,22,1,10157,110009,1,MBBS,(476) 836-6114
11100028,Sean,Cox,M,1984,2,4,1,10183,110051,26,MD,(361) 568-2514
11100029,Joanne,Norton,F,1982,2,25,1,10173,110011,17,MBBS,(360) 250-9863
11100030,Jaime,Warren,F,1949,1,13,1,10162,110013,15,MBBS,(629) 559-1989
11100031,Darlene,Cain,F,1958,3,25,1,10134,110025,39,MD,(364) 565-8536
